Florida,Florida,"$73,311.00","$69,303.00","$63,062.00","$59,227.00","$55,462.00","$52,594.00","$50,860.00","$49,426.00","$47,463.00","$46,036.00",4.76
Wyoming,Wyoming,"$72,415.00","$70,042.00","$65,204.00","$65,003.00","$61,584.00","$60,434.00","$59,882.00","$60,214.00","$57,055.00","$58,752.00",2.11
South Dakota,South Dakota,"$71,810.00","$69,728.00","$66,143.00","$59,533.00","$56,274.00","$56,521.00","$54,467.00","$53,017.00","$50,979.00","$48,947.00",3.91
Iowa,Iowa,"$71,433.00","$69,588.00","$65,600.00","$61,691.00","$59,955.00","$58,570.00","$56,247.00","$54,736.00","$53,712.00","$52,229.00",3.18
North Carolina,North Carolina,"$70,804.00","$67,481.00","$61,972.00","$57,341.00","$53,855.00","$52,752.00","$50,584.00","$47,830.00","$46,556.00","$45,906.00",4.43
Montana,Montana,"$70,804.00","$67,631.00","$63,249.00","$57,153.00","$55,328.00","$53,386.00","$50,027.00","$49,509.00","$46,328.00","$46,972.00",4.19
Kansas,Kansas,"$70,333.00","$68,925.00","$64,124.00","$62,087.00","$58,218.00","$56,422.00","$54,935.00","$53,906.00","$52,504.00","$50,972.00",3.27
Indiana,Indiana,"$69,477.00","$66,785.00","$62,743.00","$57,603.00","$55,746.00","$54,181.00","$52,314.00","$50,532.00","$49,446.00","$47,529.00",3.87
Michigan,Michigan,"$69,183.00","$66,986.00","$63,498.00","$59,584.00","$56,697.00","$54,909.00","$52,491.00","$51,084.00","$49,847.00","$48,273.00",3.66
Missouri,Missouri,"$68,545.00","$64,811.00","$61,847.00","$57,409.00","$54,478.00","$53,578.00","$51,746.00","$50,238.00","$48,363.00","$46,931.00",3.86
South Carolina,South Carolina,"$67,804.00","$64,115.00","$59,318.00","$56,227.00","$52,306.00","$50,570.00","$49,501.00","$47,238.00","$45,238.00","$44,163.00",4.38
Ohio,Ohio,"$67,769.00","$65,720.00","$62,262.00","$58,642.00","$56,111.00","$54,021.00","$52,344.00","$51,075.00","$49,308.00","$48,081.00",3.49
Tennessee,Tennessee,"$67,631.00","$65,254.00","$59,695.00","$56,071.00","$52,375.00","$51,340.00","$48,547.00","$47,275.00","$44,361.00","$44,297.00",4.32
New Mexico,New Mexico,"$62,268.00","$59,726.00","$53,992.00","$51,945.00","$47,169.00","$46,744.00","$46,748.00","$45,382.00","$44,803.00","$43,872.00",3.56
Alabama,Alabama,"$62,212.00","$59,674.00","$53,913.00","$51,734.00","$49,861.00","$48,123.00","$46,257.00","$44,765.00","$42,830.00","$42,849.00",3.8
Oklahoma,Oklahoma,"$62,138.00","$59,673.00","$55,826.00","$54,449.00","$51,924.00","$50,051.00","$49,176.00","$48,568.00","$47,529.00","$45,690.00",3.12
Kentucky,Kentucky,"$61,118.00","$59,341.00","$55,573.00","$52,295.00","$50,247.00","$48,375.00","$46,659.00","$45,215.00","$42,958.00","$43,399.00",3.48
Arkansas,Arkansas,"$58,700.00","$55,432.00","$52,528.00","$48,952.00","$47,062.00","$45,869.00","$44,334.00","$41,995.00","$41,262.00","$40,511.00",3.78
Louisiana,Louisiana,"$58,229.00","$55,416.00","$52,087.00","$51,073.00","$47,905.00","$46,145.00","$45,146.00","$45,727.00","$44,555.00","$44,164.00",2.8
West Virginia,West Virginia,"$55,948.00","$54,329.00","$51,248.00","$48,850.00","$44,097.00","$43,469.00","$43,385.00","$42,019.00","$41,059.00","$41,253.00",3.09
Mississippi,Mississippi,"$54,203.00","$52,719.00","$48,716.00","$45,792.00","$44,717.00","$43,529.00","$41,754.00","$40,593.00","$39,680.00","$37,963.00",3.63
